,X,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,FIPS.Code,County.Number,County.Name,Alex.number,Population
1,1,4053,1924,2060,69,3959,1788,2110,61,3759,1127,2456,176,19001,16001,Adair,69,7682
2,2,2206,1118,1046,42,2158,1018,1103,37,2082,565,1393,124,19003,16002,Adams,81,4029
3,3,7059,3971,2965,123,6824,3511,3230,83,6837,2409,4072,356,19005,16003,Allamakee,11,14330
4,4,6176,2970,3086,120,6176,2934,3153,89,6096,1813,4031,252,19007,16004,Appanoose,96,12884
5,5,3435,1739,1634,62,3439,1608,1800,31,3379,1079,2135,165,19009,16005,Audubon,57,6119
6,6,13712,7058,6447,207,13959,6850,6935,174,13690,4672,8226,792,19011,16006,Benton,51,26076
7,7,64775,39184,24662,929,66205,39338,26078,789,63221,32006,27382,3833,19013,16007,Black Hawk,39,131090
8,8,13929,7356,6293,280,14237,7457,6540,240,13984,5517,7458,1009,19015,16008,Boone,47,26306
9,9,12871,6940,5741,190,13218,6710,6383,125,13350,5349,7199,802,19017,16009,Bremer,30,24276
10,10,10338,6050,4139,149,10478,5903,4443,132,10137,3966,5504,667,19019,16010,Buchanan,40,20958
11,11,8418,4075,4223,120,8322,3683,4548,91,8179,2851,4895,433,19021,16011,Buena Vista,24,20260
12,12,7166,3364,3700,102,7510,3321,4104,85,7457,2163,4918,376,19023,16012,Butler,29,14867
13,13,5195,2341,2741,113,5190,2232,2890,68,5105,1396,3466,243,19025,16013,Calhoun,34,9670
14,14,10387,5302,4922,163,10581,4912,5577,92,10435,3305,6627,503,19027,16014,Carroll,45,20816
15,15,7350,3211,4006,133,7167,2856,4212,99,7055,1946,4755,354,19029,16015,Cass,68,13956
16,16,9665,5221,4289,155,9548,4931,4510,107,9386,3578,5275,533,19031,16016,Cedar,65,18499
17,17,24140,14405,9375,360,23548,13204,10084,260,22633,9840,11583,1210,19033,16017,Cerro Gordo,17,44151
18,18,6365,2890,3372,103,6367,2623,3656,88,6186,1676,4188,322,19035,16018,Cherokee,23,12072
19,19,6583,3923,2557,103,6462,3552,2836,74,6367,2264,3739,364,19037,16019,Chickasaw,19,12439
20,20,4443,2218,2118,107,4398,2187,2124,87,4405,1463,2706,236,19039,16020,Clarke,83,9286
21,21,8398,3925,4355,118,8400,3363,4934,103,8542,2246,5870,426,19041,16021,Clay,14,16667
22,22,8989,5195,3651,143,9035,4768,4146,121,9098,3236,5309,553,19043,16022,Clayton,21,18129
23,23,24719,15018,9324,377,24873,15123,9423,327,22748,10079,11249,1420,19045,16023,Clinton,66,49116
24,24,7191,3715,3345,131,6686,3035,3584,67,6862,1985,4608,269,19047,16024,Crawford,44,17096
25,25,32640,15149,16954,537,37799,16466,20921,412,37617,15662,19288,2667,19049,16025,Dallas,59,66135
26,26,3815,1680,2029,106,3738,1518,2133,87,3858,976,2721,161,19051,16026,Davis,97,8753
27,27,4102,1986,2020,96,3812,1790,1945,77,3703,1201,2296,206,19053,16027,Decatur,94,8457
28,28,8901,4649,4113,139,9323,4605,4628,90,9165,2956,5688,521,19055,16028,Delaware,41,17764
29,29,20570,12462,7721,387,20264,11873,8130,261,18713,8178,9479,1056,19057,16029,Des Moines,89,40325
30,30,9906,4625,5162,119,10118,4088,5911,119,10247,3051,6743,453,19059,16030,Dickinson,3,16667
31,31,47953,28611,18651,691,50516,28600,21265,651,49037,22774,23384,2879,19061,16031,Dubuque,42,93653
32,32,5015,2570,2373,72,4646,2087,2499,60,4707,1356,3121,230,19063,16032,Emmet,4,10302
33,33,10259,5908,4205,146,10309,5709,4484,116,9813,3666,5591,556,19065,16033,Fayette,20,20880
