CO_LEG,District,Step
Adams009,4,0
Asotin009,4,0
Benton008,9,0
Benton016,9,0
Chelan012,6,0
Clallam024,2,0
Clark015,3,0
Clark017,3,0
Clark018,3,0
Clark049,3,0
Columbia016,5,0
Cowlitz018,3,0
Cowlitz019,3,0
Douglas012,1,0
Ferry007,4,0
Franklin009,5,0
Franklin016,5,0
Garfield009,4,0
Grant012,4,0
Grant013,1,0
Grays Harbor019,2,0
Grays Harbor024,2,0
Grays Harbor035,0,0
Island010,6,0
Jefferson024,2,0
King001,7,0
King005,6,0
King011,6,0
King030,1,0
King031,6,0
King032,7,0
King033,1,0
King034,0,0
King036,7,0
King037,7,0
King039,6,0
King041,7,0
King043,7,0
King045,7,0
King046,7,0
King047,6,0
King048,6,0
Kitsap023,0,0
Kitsap026,0,0
Kitsap035,0,0
Kittitas013,1,0
Klickitat015,9,0
Lewis020,0,0
Lincoln007,4,0
Mason035,0,0
Okanogan007,4,0
Okanogan012,4,0
Pacific019,3,0
Pend Oreille007,4,0
Pierce002,8,0
Pierce025,8,0
Pierce026,0,0
Pierce027,8,0
Pierce028,8,0
Pierce029,8,0
Pierce031,1,0
San Juan040,6,0
Skagit010,6,0
Skagit021,0,0
Skagit039,6,0
Skagit040,6,0
Skamania015,9,0
Snohomish001,6,0
Snohomish010,6,0
Snohomish021,7,0
Snohomish032,7,0
Snohomish038,6,0
Snohomish039,6,0
Snohomish044,6,0
Snohomish048,6,0
Spokane003,4,0
Spokane004,4,0
Spokane006,4,0
Spokane007,4,0
Spokane009,4,0
Stevens007,4,0
Thurston002,8,0
Thurston020,8,0
Thurston022,8,0
Thurston035,8,0
Wahkiakum019,3,0
Walla Walla016,5,0
Whatcom039,0,0
Whatcom040,6,0
Whatcom042,6,0
Whitman009,4,0
Yakima013,9,0
Yakima014,9,0
Yakima015,9,0
CO_LEG,District,Step
Adams009,4,25
Asotin009,4,25
Benton008,9,25
Benton016,9,25
Chelan012,6,25
Clallam024,2,25
Clark015,3,25
Clark017,3,25
Clark018,3,25
Clark049,3,25
Columbia016,5,25
Cowlitz018,3,25
Cowlitz019,3,25
Douglas012,6,25
Ferry007,4,25
Franklin009,5,25
Franklin016,5,25
Garfield009,4,25
Grant012,4,25
Grant013,1,25
Grays Harbor019,3,25
Grays Harbor024,3,25
Grays Harbor035,0,25
Island010,6,25
Jefferson024,2,25
King001,7,25
King005,6,25
King011,6,25
King030,1,25
King031,6,25
King032,7,25
King033,0,25
King034,0,25
King036,7,25
King037,7,25
King039,6,25
King041,7,25
King043,7,25
King045,7,25
King046,7,25
King047,6,25
King048,6,25
Kitsap023,0,25
Kitsap026,0,25
Kitsap035,0,25
Kittitas013,1,25
Klickitat015,9,25
Lewis020,3,25
Lincoln007,4,25
Mason035,0,25
Okanogan007,4,25
Okanogan012,4,25
Pacific019,3,25
Pend Oreille007,4,25
Pierce002,8,25
Pierce025,1,25
Pierce026,0,25
Pierce027,1,25
Pierce028,8,25
Pierce029,8,25
Pierce031,1,25
San Juan040,6,25
Skagit010,6,25
Skagit021,0,25
Skagit039,6,25
Skagit040,6,25
Skamania015,3,25
Snohomish001,6,25
Snohomish010,6,25
Snohomish021,7,25
Snohomish032,7,25
Snohomish038,7,25
Snohomish039,6,25
Snohomish044,6,25
Snohomish048,6,25
Spokane003,4,25
Spokane004,4,25
Spokane006,4,25
Spokane007,4,25
Spokane009,4,25
Stevens007,4,25
Thurston002,8,25
Thurston020,8,25
Thurston022,8,25
Thurston035,0,25
Wahkiakum019,3,25
Walla Walla016,5,25
Whatcom039,0,25
Whatcom040,6,25
Whatcom042,6,25
Whitman009,4,25
Yakima013,9,25
Yakima014,6,25
Yakima015,9,25
CO_LEG,District,Step
Adams009,4,50
Asotin009,4,50
Benton008,9,50
Benton016,9,50
Chelan012,6,50
Clallam024,2,50
Clark015,3,50
Clark017,3,50
Clark018,3,50
Clark049,3,50
Columbia016,5,50
Cowlitz018,3,50
Cowlitz019,3,50
Douglas012,6,50
Ferry007,4,50
Franklin009,5,50
Franklin016,5,50
Garfield009,4,50
Grant012,6,50
Grant013,4,50
Grays Harbor019,3,50
Grays Harbor024,0,50
Grays Harbor035,3,50
Island010,6,50
Jefferson024,2,50
King001,7,50
King005,6,50
King011,6,50
King030,0,50
King031,6,50
King032,7,50
King033,0,50
King034,0,50
King036,7,50
King037,7,50
King039,1,50
King041,7,50
King043,7,50
King045,6,50
King046,7,50
King047,0,50
King048,6,50
Kitsap023,0,50
Kitsap026,0,50
Kitsap035,0,50
Kittitas013,1,50
Klickitat015,9,50
Lewis020,3,50
Lincoln007,4,50
Mason035,0,50
Okanogan007,4,50
Okanogan012,6,50
Pacific019,3,50
Pend Oreille007,4,50
Pierce002,8,50
Pierce025,1,50
Pierce026,0,50
Pierce027,1,50
Pierce028,8,50
Pierce029,8,50
Pierce031,1,50
San Juan040,6,50
Skagit010,6,50
Skagit021,0,50
Skagit039,6,50
Skagit040,6,50
Skamania015,9,50
Snohomish001,7,50
Snohomish010,6,50
Snohomish021,7,50
Snohomish032,7,50
Snohomish038,7,50
Snohomish039,6,50
Snohomish044,6,50
Snohomish048,6,50
Spokane003,4,50
Spokane004,4,50
Spokane006,4,50
Spokane007,4,50
Spokane009,4,50
Stevens007,4,50
Thurston002,8,50
Thurston020,3,50
Thurston022,8,50
Thurston035,3,50
Wahkiakum019,3,50
Walla Walla016,5,50
Whatcom039,0,50
Whatcom040,6,50
Whatcom042,6,50
Whitman009,4,50
Yakima013,1,50
Yakima014,3,50
Yakima015,1,50
CO_LEG,District,Step
Adams009,4,75
Asotin009,4,75
Benton008,9,75
Benton016,9,75
Chelan012,6,75
Clallam024,2,75
Clark015,3,75
Clark017,3,75
Clark018,3,75
Clark049,3,75
Columbia016,4,75
Cowlitz018,3,75
Cowlitz019,3,75
Douglas012,6,75
Ferry007,6,75
Franklin009,5,75
Franklin016,5,75
Garfield009,4,75
Grant012,6,75
Grant013,4,75
Grays Harbor019,3,75
Grays Harbor024,3,75
Grays Harbor035,3,75
Island010,6,75
Jefferson024,3,75
King001,7,75
King005,6,75
King011,0,75
King030,0,75
King031,6,75
King032,7,75
King033,0,75
King034,0,75
King036,7,75
King037,0,75
King039,1,75
King041,6,75
King043,7,75
King045,6,75
King046,7,75
King047,0,75
King048,6,75
Kitsap023,0,75
Kitsap026,0,75
Kitsap035,0,75
Kittitas013,1,75
Klickitat015,3,75
Lewis020,3,75
Lincoln007,4,75
Mason035,0,75
Okanogan007,6,75
Okanogan012,6,75
Pacific019,3,75
Pend Oreille007,4,75
Pierce002,8,75
Pierce025,1,75
Pierce026,0,75
Pierce027,8,75
Pierce028,8,75
Pierce029,8,75
Pierce031,1,75
San Juan040,6,75
Skagit010,6,75
Skagit021,0,75
Skagit039,6,75
Skagit040,6,75
Skamania015,3,75
Snohomish001,7,75
Snohomish010,6,75
Snohomish021,7,75
Snohomish032,7,75
Snohomish038,7,75
Snohomish039,6,75
Snohomish044,6,75
Snohomish048,6,75
Spokane003,4,75
Spokane004,4,75
Spokane006,4,75
Spokane007,4,75
Spokane009,4,75
Stevens007,4,75
Thurston002,3,75
Thurston020,3,75
Thurston022,3,75
Thurston035,0,75
Wahkiakum019,3,75
Walla Walla016,5,75
Whatcom039,0,75
Whatcom040,6,75
Whatcom042,6,75
Whitman009,4,75
Yakima013,1,75
Yakima014,6,75
Yakima015,6,75
CO_LEG,District,Step
Adams009,4,100
Asotin009,4,100
Benton008,9,100
Benton016,9,100
Chelan012,1,100
Clallam024,2,100
Clark015,3,100
Clark017,3,100
Clark018,3,100
Clark049,3,100
Columbia016,4,100
Cowlitz018,3,100
Cowlitz019,3,100
Douglas012,6,100
Ferry007,6,100
Franklin009,4,100
Franklin016,4,100
Garfield009,4,100
Grant012,6,100
Grant013,1,100
Grays Harbor019,3,100
Grays Harbor024,3,100
Grays Harbor035,0,100
Island010,6,100
Jefferson024,3,100
King001,6,100
King005,6,100
King011,6,100
King030,0,100
King031,6,100
King032,7,100
King033,0,100
King034,0,100
King036,7,100
King037,0,100
King039,1,100
King041,6,100
King043,7,100
King045,6,100
King046,7,100
King047,0,100
King048,6,100
Kitsap023,0,100
Kitsap026,0,100
Kitsap035,0,100
Kittitas013,1,100
Klickitat015,9,100
Lewis020,3,100
Lincoln007,4,100
Mason035,0,100
Okanogan007,6,100
Okanogan012,6,100
Pacific019,3,100
Pend Oreille007,4,100
Pierce002,8,100
Pierce025,1,100
Pierce026,0,100
Pierce027,0,100
Pierce028,8,100
Pierce029,8,100
Pierce031,1,100
San Juan040,6,100
Skagit010,6,100
Skagit021,0,100
Skagit039,6,100
Skagit040,6,100
Skamania015,3,100
Snohomish001,6,100
Snohomish010,6,100
Snohomish021,7,100
Snohomish032,7,100
Snohomish038,7,100
Snohomish039,6,100
Snohomish044,7,100
Snohomish048,6,100
Spokane003,4,100
Spokane004,4,100
Spokane006,4,100
Spokane007,4,100
Spokane009,4,100
Stevens007,4,100
Thurston002,3,100
Thurston020,3,100
Thurston022,3,100
Thurston035,0,100
Wahkiakum019,3,100
Walla Walla016,5,100
Whatcom039,0,100
Whatcom040,6,100
Whatcom042,6,100
Whitman009,4,100
Yakima013,6,100
Yakima014,6,100
Yakima015,9,100
CO_LEG,District,Step
Adams009,4,125
Asotin009,4,125
Benton008,9,125
Benton016,9,125
Chelan012,6,125
Clallam024,2,125
Clark015,3,125
Clark017,3,125
Clark018,3,125
Clark049,3,125
Columbia016,4,125
Cowlitz018,3,125
Cowlitz019,3,125
Douglas012,6,125
Ferry007,6,125
Franklin009,4,125
Franklin016,4,125
Garfield009,4,125
Grant012,6,125
Grant013,1,125
Grays Harbor019,3,125
Grays Harbor024,0,125
Grays Harbor035,3,125
Island010,6,125
Jefferson024,2,125
King001,7,125
King005,6,125
King011,0,125
King030,0,125
King031,6,125
King032,7,125
King033,0,125
King034,0,125
King036,7,125
King037,0,125
King039,6,125
King041,6,125
King043,7,125
King045,6,125
King046,7,125
King047,0,125
King048,6,125
Kitsap023,0,125
Kitsap026,0,125
Kitsap035,0,125
Kittitas013,1,125
Klickitat015,9,125
Lewis020,3,125
Lincoln007,4,125
Mason035,0,125
Okanogan007,6,125
Okanogan012,6,125
Pacific019,3,125
Pend Oreille007,4,125
Pierce002,1,125
Pierce025,1,125
Pierce026,0,125
Pierce027,0,125
Pierce028,3,125
Pierce029,8,125
Pierce031,1,125
San Juan040,6,125
Skagit010,6,125
Skagit021,0,125
Skagit039,0,125
Skagit040,6,125
Skamania015,3,125
Snohomish001,7,125
Snohomish010,6,125
Snohomish021,7,125
Snohomish032,7,125
Snohomish038,7,125
Snohomish039,6,125
Snohomish044,7,125
Snohomish048,6,125
Spokane003,4,125
Spokane004,4,125
Spokane006,4,125
Spokane007,4,125
Spokane009,4,125
Stevens007,6,125
Thurston002,3,125
Thurston020,3,125
Thurston022,3,125
Thurston035,0,125
Wahkiakum019,3,125
Walla Walla016,5,125
Whatcom039,0,125
Whatcom040,6,125
Whatcom042,6,125
Whitman009,4,125
Yakima013,9,125
Yakima014,6,125
Yakima015,9,125
CO_LEG,District,Step
Adams009,4,150
Asotin009,4,150
Benton008,9,150
Benton016,9,150
Chelan012,6,150
Clallam024,2,150
Clark015,3,150
Clark017,3,150
Clark018,3,150
Clark049,3,150
Columbia016,4,150
Cowlitz018,3,150
Cowlitz019,3,150
Douglas012,1,150
Ferry007,6,150
Franklin009,4,150
Franklin016,4,150
Garfield009,4,150
Grant012,6,150
Grant013,1,150
Grays Harbor019,3,150
Grays Harbor024,3,150
Grays Harbor035,3,150
Island010,6,150
Jefferson024,2,150
King001,7,150
King005,0,150
King011,0,150
King030,0,150
King031,0,150
King032,7,150
King033,0,150
King034,0,150
King036,7,150
King037,0,150
King039,6,150
King041,6,150
King043,7,150
King045,6,150
King046,7,150
King047,0,150
King048,6,150
Kitsap023,0,150
Kitsap026,0,150
Kitsap035,0,150
Kittitas013,1,150
Klickitat015,9,150
Lewis020,3,150
Lincoln007,6,150
Mason035,0,150
Okanogan007,6,150
Okanogan012,6,150
Pacific019,3,150
Pend Oreille007,4,150
Pierce002,1,150
Pierce025,1,150
Pierce026,0,150
Pierce027,0,150
Pierce028,1,150
Pierce029,8,150
Pierce031,1,150
San Juan040,6,150
Skagit010,6,150
Skagit021,0,150
Skagit039,6,150
Skagit040,6,150
Skamania015,3,150
Snohomish001,7,150
Snohomish010,6,150
Snohomish021,0,150
Snohomish032,7,150
Snohomish038,6,150
Snohomish039,6,150
Snohomish044,7,150
Snohomish048,6,150
Spokane003,4,150
Spokane004,4,150
Spokane006,4,150
Spokane007,6,150
Spokane009,4,150
Stevens007,4,150
Thurston002,3,150
Thurston020,3,150
Thurston022,3,150
Thurston035,3,150
Wahkiakum019,3,150
Walla Walla016,5,150
Whatcom039,0,150
Whatcom040,6,150
Whatcom042,6,150
Whitman009,4,150
Yakima013,1,150
Yakima014,1,150
Yakima015,9,150
CO_LEG,District,Step
Adams009,4,175
Asotin009,4,175
Benton008,9,175
Benton016,9,175
Chelan012,6,175
Clallam024,2,175
Clark015,3,175
Clark017,3,175
Clark018,3,175
Clark049,3,175
Columbia016,4,175
Cowlitz018,3,175
Cowlitz019,3,175
Douglas012,1,175
Ferry007,6,175
Franklin009,4,175
Franklin016,4,175
Garfield009,4,175
Grant012,6,175
Grant013,1,175
Grays Harbor019,3,175
Grays Harbor024,3,175
Grays Harbor035,3,175
Island010,6,175
Jefferson024,2,175
King001,7,175
King005,6,175
King011,0,175
King030,0,175
King031,1,175
King032,7,175
King033,0,175
King034,0,175
King036,7,175
King037,7,175
King039,6,175
King041,0,175
King043,7,175
King045,7,175
King046,7,175
King047,1,175
